function|n|m|n*m|userTime
shiftand|918|54|49572|0.000062
shiftand|1700|100|170000|0.000084
shiftand|1088|64|69632|0.000054
shiftand|1632|96|156672|0.000080
shiftand|1241|73|90593|0.000061
shiftand|1530|90|137700|0.000075
shiftand|1632|96|156672|0.000080
shiftand|1530|90|137700|0.000075
shiftand|1513|89|134657|0.000074
shiftand|1394|82|114308|0.000069
shiftand|1632|96|156672|0.000082
shiftand|1513|89|134657|0.000074
shiftand|867|51|44217|0.000043
shiftand|952|56|53312|0.000048
shiftand|1343|79|106097|0.000067
shiftand|1394|82|114308|0.000068
shiftand|1292|76|98192|0.000064
shiftand|1054|62|65348|0.000053
shiftand|1003|59|59177|0.000050
shiftand|1428|84|119952|0.000038
shiftand|1105|65|71825|0.000015
shiftand|1020|60|61200|0.000014
shiftand|1003|59|59177|0.000013
shiftand|1258|74|93092|0.000018
shiftand|1020|60|61200|0.000014
shiftand|935|55|51425|0.000013
shiftand|850|50|42500|0.000012
shiftand|1683|99|166617|0.000023
shiftand|1496|88|131648|0.000020
shiftand|969|57|55233|0.000013
shiftand|1003|59|59177|0.000013
shiftand|1054|62|65348|0.000015
shiftand|1071|63|67473|0.000015
shiftand|1360|80|108800|0.000019
shiftand|884|52|45968|0.000012
shiftand|901|53|47753|0.000012
shiftand|1173|69|80937|0.000016
shiftand|1105|65|71825|0.000015
shiftand|1394|82|114308|0.000019
shiftand|1207|71|85697|0.000016
shiftand|1632|96|156672|0.000022
shiftand|1496|88|131648|0.000021
shiftand|1683|99|166617|0.000022
shiftand|1360|80|108800|0.000018
shiftand|1003|59|59177|0.000014
shiftand|1207|71|85697|0.000017
shiftand|1003|59|59177|0.000014
shiftand|1649|97|159953|0.000021
shiftand|884|52|45968|0.000013
shiftand|1496|88|131648|0.000020
shiftand|1275|75|95625|0.000017
shiftand|969|57|55233|0.000014
shiftand|1122|66|74052|0.000015
shiftand|1581|93|147033|0.000021
shiftand|1564|92|143888|0.000021
shiftand|1360|80|108800|0.000019
shiftand|901|53|47753|0.000012
shiftand|1632|96|156672|0.000022
shiftand|1666|98|163268|0.000023
shiftand|918|54|49572|0.000012
shiftand|1649|97|159953|0.000022
shiftand|1513|89|134657|0.000021
shiftand|1615|95|153425|0.000022
shiftand|1598|94|150212|0.000022
shiftand|1581|93|147033|0.000021
shiftand|1241|73|90593|0.000017
shiftand|1700|100|170000|0.000022
shiftand|1003|59|59177|0.000013
shiftand|1343|79|106097|0.000019
shiftand|1564|92|143888|0.000021
shiftand|918|54|49572|0.000013
shiftand|1530|90|137700|0.000021
shiftand|969|57|55233|0.000013
shiftand|1411|83|117113|0.000018
shiftand|1513|89|134657|0.000021
shiftand|1428|84|119952|0.000019
shiftand|1598|94|150212|0.000022
shiftand|1037|61|63257|0.000015
shiftand|1581|93|147033|0.000022
shiftand|918|54|49572|0.000013
shiftand|1598|94|150212|0.000021
shiftand|1598|94|150212|0.000022
shiftand|901|53|47753|0.000012
shiftand|1105|65|71825|0.000015
shiftand|1020|60|61200|0.000014
shiftand|1462|86|125732|0.000020
shiftand|1343|79|106097|0.000018
shiftand|1139|67|76313|0.000016
shiftand|1530|90|137700|0.000022
shiftand|1666|98|163268|0.000022
shiftand|935|55|51425|0.000015
shiftand|1547|91|140777|0.000021
shiftand|1054|62|65348|0.000014
shiftand|1445|85|122825|0.000022
shiftand|1037|61|63257|0.000019
shiftand|1088|64|69632|0.000015
shiftand|1496|88|131648|0.000022
shiftand|1615|95|153425|0.000024
shiftand|969|57|55233|0.000015
shiftand|1037|61|63257|0.000021
shiftand|1326|78|103428|0.000018
